Gene,Pathway_Count,Mean_NES,Strongest_NES
DYNLRB1,16,1.6033330720789094,1.84034009692533
RB1,16,1.595202621725833,1.84034009692533
CSF1,16,1.5589409004594068,1.75587428465578
PRKD2,16,1.552540721755847,1.75162645339694
ACTG1,16,1.550659466060305,1.74404340020384
FZR1,16,1.5007924224244507,1.73393485669993
ADAMTS12,16,1.523700087098312,1.71800106759615
FOS,16,1.565243761577475,1.7150199906221
FGF18,16,1.5278418165833862,1.71488087704745
E2F7,16,1.4830335883381125,1.70232268389385
IMPDH2,15,-2.075703520437058,2.42123244465721
NUDT5,15,-2.0212260760288814,2.378691247977
ALDH8A1,15,-1.754643033821012,2.31401119809841
SOD2,15,-1.8071968675999608,2.29136114084974
SRD5A3,15,-1.8327736071821306,2.26421603341546
CAT,15,-1.7763008598267334,2.20250733950987
DGAT2,15,-1.767593674821964,2.14871234013199
TNNI3,15,1.6785872821332073,2.0148161587647
ROBO3,15,1.618477903952014,1.90988691437547
NLGN4X,15,1.604598512149134,1.86090112988348
AGT,15,1.6292657517074594,1.84704856607512
ESR1,15,1.652240598771024,1.84704856607512
FOSL2,15,1.543694260318006,1.84704856607512
ANAPC2,15,1.5926887671845573,1.84034009692533
IK,15,1.6039596234258147,1.84034009692533
NCAPH2,15,1.6172102546657348,1.84034009692533
TRIM28,15,1.5228540435976794,1.82657158916594
FSHR,15,1.5132464010582787,1.79884608150781
CAMK2D,15,1.5747787170629721,1.7636892070389
LDB1,15,1.5413415414740834,1.75198404173129
ZFP36L2,15,1.5054397295130393,1.75198404173129
DIP2B,15,1.5784942506197641,1.74404340020384
SYNGAP1,15,1.5817645752567233,1.74404340020384
VCL,15,1.578083800392768,1.74404340020384
SLC12A5,15,1.5648790106285073,1.74167257677338
CDK2,15,1.4905356859930787,1.73393485669993
OFD1,15,1.529604012267086,1.72991752580885
BRCA2,15,1.4455289789765167,1.59768109257646
TULP3,15,1.482728714450374,1.57304653212331
HSD17B10,14,-1.7490359452943114,2.70059634875783
FDPS,14,-2.0832607267215977,2.42365250697278
IDI1,14,-2.0832607267215977,2.42365250697278
AK2,14,-2.128460984400408,2.42123244465721
ATIC,14,-1.990823934123385,2.42123244465721
