"Regulator","Target_Count","Overlap","OddsRatio","PValue","OverlapGenes","FDR"
"RBMX",8,3,3.18797405738155,0.135034849040234,"EGR1;FOS;JUNB",0.472980203317283
"STAT5B",8,3,3.18797405738155,0.135034849040234,"IGF1;ESR1;ESR2",0.472980203317283
"CTNNB1",22,6,1.97737422950578,0.146891535148497,"BIRC5;MMP14;JUN;RB1;PTGS2;VIM",0.472980203317283
"NR5A1",22,6,1.97737422950578,0.146891535148497,"FSHR;STAR;AMH;CYP11A1;HSD3B1;HSD3B2",0.472980203317283
"USF2",47,11,1.58544330523791,0.147515726951668,"TGFB2;THBS1;BRCA1;FBP1;BRCA2;HMOX1;ABCA1;CEACAM1;B2M;PTGS2;POU2F1",0.472980203317283
"ATF2",32,8,1.74318687083156,0.151288544448571,"TGFB2;FN1;DUSP1;JUN;IMPDH2;ATF3;RELA;PTGS2",0.472980203317283
"CDX2",32,8,1.74318687083156,0.151288544448571,"KLF4;AXIN2;GSTP1;IGFBP3;ACAT2;LCT;PTGS2;GSK3B",0.472980203317283
"RELA",301,57,1.19876504233612,0.151460842533851,"HES1;BCL2;FN1;EGFR;CCNB1;BIRC5;GSK3A;CDH1;IL10;MMP14;SIRT1;TP53;AKT1;FBP1;WT1;EGR1;CDK6;CSF1;SOD2;AGT;BRCA2;UPP1;HBEGF;GSTP1;E2F1;PTGES;IL18;HMOX1;IER3;STAT3;F3;BTG2;TNFAIP3;AGER;HPSE;SOCS3;AMH;PTPN13;ABCA1;MIF;CEACAM1;CCND2;JUNB;ALOX5;VCAM1;ADORA3;PCYT2;PTEN;PTGS2;CASP3;TLR3;NAMPT;BMP2;EPCAM;LPL;OXTR;SLC25A27",0.472980203317283
"KAT2B",13,4,2.37416267942584,0.158248262486588,"SMAD4;RB1;CDK2;LIN28A",0.472980203317283
"ZEB1",13,4,2.37416267942584,0.158248262486588,"CDH1;GRHL2;COL4A3;EPCAM",0.472980203317283
"NFKB1",303,57,1.18774103089991,0.16505971924604,"HES1;BCL2;FN1;EGFR;CCNB1;BIRC5;GSK3A;CDH1;IL10;MMP14;TP53;AKT1;FBP1;WT1;EGR1;CSF1;SOD2;AGT;BRCA2;UPP1;HBEGF;GSTP1;E2F1;PTGES;IL18;HMOX1;IER3;F3;BTG2;TNFAIP3;AGER;HPSE;SOCS3;AMH;PTPN13;ABCA1;MIF;CEACAM1;ATF3;CCND2;JUNB;CTCF;ALOX5;VCAM1;ADORA3;PCYT2;PTEN;B2M;PTGS2;CASP3;TLR3;NAMPT;BMP2;EPCAM;LPL;GSK3B;SLC25A27",0.472980203317283
"ANKRD1",1,1,14.9927797833935,0.1669341894061,"NPPA",0.472980203317283
"APBB1",1,1,14.9927797833935,0.1669341894061,"GMPS",0.472980203317283
"BARD1",1,1,14.9927797833935,0.1669341894061,"ESR1",0.472980203317283
"BARX2",1,1,14.9927797833935,0.1669341894061,"ESR1",0.472980203317283
"CREG1",1,1,14.9927797833935,0.1669341894061,"HSPA4",0.472980203317283
"DENND4A",1,1,14.9927797833935,0.1669341894061,"ERBB2",0.472980203317283
"DLX4",1,1,14.9927797833935,0.1669341894061,"BRCA1",0.472980203317283
"E2F7",1,1,14.9927797833935,0.1669341894061,"E2F1",0.472980203317283
"E4F1",1,1,14.9927797833935,0.1669341894061,"CCNA2",0.472980203317283
"FOXJ1",1,1,14.9927797833935,0.1669341894061,"ASPM",0.472980203317283
"GABPB1",1,1,14.9927797833935,0.1669341894061,"OXTR",0.472980203317283
"GABPB2",1,1,14.9927797833935,0.1669341894061,"RPS3A",0.472980203317283
"GRHL1",1,1,14.9927797833935,0.1669341894061,"CYP11A1",0.472980203317283
"HMG20B",1,1,14.9927797833935,0.1669341894061,"BRCA2",0.472980203317283
"HNRNPD",1,1,14.9927797833935,0.1669341894061,"KLF2",0.472980203317283
"HOXB4",1,1,14.9927797833935,0.1669341894061,"PROM1",0.472980203317283
