"Term","NES","padj","LeadingEdgeGenes"
"Rrna Metabolic Process",-1.76371223673895,3.66833851481983e-05,"MPHOSPH6;TRMT61B;SLFN5;WDR43;POLR1C;DKC1;POLR1B;RCL1;RRP36;RPF2;YBEY;EXOSC8;PRMT5;NHP2;DDX47;RRP7A;NUDT16;NOL11;POLR2H;MRTO4;RPL7L1;TFB2M;SUV39H1;TSR1;EBNA1BP2;IMP3;DDX55;RPP40;EXOSC7;RPS28;GTF3C4;NSUN4;NOP10;GTPBP4;RPS8;IPPK;RPL27;C1D;RPP30;POLR2L;RPL35A;RPS21;WDR36;RPL5;GTF3C6;POP4;METTL5;EMG1;SRFBP1;RPL7A;FTSJ3;NOL7;RPS6;RPL35;POLR2F;DCAF13;RPUSD2;RPS24;NVL;DDX52;NOP14;UTP6;POLR2K;DDX21;BYSL;UTP20;FBL;PRKDC;RPS17;WDR3;NOB1;WDR77;RPS14;BMS1;RPS19;PES1;RPL11;LAS1L;WDR12;RPL7;RPL14;PWP1;DDX49;WDR74;NAT10;POP7;DDX18;FCF1;PIN4;HEATR1;NSA2;RPL26;METTL18;TSR2;FRG1;TOP1;RPS16;EXOSC2;SLFN12L;UTP15;GAR1"
"Steroid Biosynthetic Process",-2.02223800619612,3.7164541321547e-05,"EBP;NSDHL;FDPS;CYP11A1;NR1H4;CYP51A1;DHCR7;MVK;HSD17B7;ACLY;HSD17B12;LSS;MVD;SEC14L2;APOA1;HSD3B2;STAR;AKR1B1;SQLE;HMGCS1;NR3C1;LPCAT3;APOE;HSD17B6;IDI1;STARD4;LIPA;FDFT1;PRKAA1;SRD5A3;INSIG2;HMGCR;HINT2;MAPK1;ACBD3;ERLIN2;HSD17B1;PMVK;CYP2R1;DHCR24;HSD3B1;PRKAG2;INSIG1;ERLIN1;LHCGR"
"Endoplasmic Reticulum to Golgi Vesicle Mediated Transport",-2.0132496647495,4.4563689500356e-05,"BCAP31;ERGIC1;MIA3;CTAGE9;COPB1;SCFD1;VAPB;TRAPPC3;TMED3;COPB2;TMED9;YIF1A;ZW10;GAS1;LMAN1;NRBP1;LMAN2L;SEC22A;CNIH4;ERGIC3;GOSR2;TMED2;TMED5;SEC24D;SEC23A;SEC24A;RAB1A;GOLT1B;INSIG1;PDCD6;BET1;ATL3;SEC23B;COPA;PREB;VTI1A;SAR1A;SEC22B;ERGIC2;USO1;YIF1B;ANK1;YKT6;TRAPPC5;VCP;CREB3L2;MCFD2;ARCN1;TBC1D20;TRAPPC2L;RINT1;RAB2A;SAR1B;TMED7;YIPF6;LMAN2"
"Protein Maturation",-1.51716515697461,5.0669970853615e-05,"PGK1;DUOXA2;PDIA6;PCSK9;MIPEP;PPIA;HSPA5;BOLA3;ENO1;P4HB;PDIA3;GRPEL1;SPON1;PRDX4;SPCS1;ISCA1;SRGN;CASP3;S100A10;PIK3C3;FGG;ANXA2;HSP90B1;PPIF;CANX;B2M;SIL1;CTSZ;CCT5;TSPAN5;PCSK6;CALR;GAS1;METAP1;LMAN1;AIFM1;MKKS;CLN5;PGAP2;PPIE;SEC11C;PDIA4;RAP1GDS1;BAG4;PPID;PPIB;DNAJA4;LMAN2L;ERP29;ERP27;HSP90AB1;CCT8;HSPA6;PDIA5;NDUFAB1;HSPA4L;FKBP1A;PEX19;CMC1;YME1L1;FKBP10;CCT3;TBCE;PIGU;PREP;DNAJC1;CCDC47;RP2;PFDN6;DNAJA2;PTGES3;CASP10;CASP6;NAA20;PDRG1;PIGA;CCT7;DNAJC5;PSEN1;STOML2;DHCR24;DNAJC25;CPD;DNAJC2;RUVBL2;ANXA2P2;DNAJC7;HSPA4;BACE2;PRCP;PRSS27;ATG4A;PSENEN;GLRX5;DNAJA1;NAA10;PMPCB;NAA15;ATG4C;CISD3;PDCD5;PIGP;PDCL3;BAG2;AFG3L2;TRAP1;HSP90AA1;HSPE1;SCG5;MAFB;DPM1;ATP6AP2;CDC123;F8;HSPD1;LDLRAD3;HSPBP1;ZMPSTE24;PARL;HSPA9;PIGN;DNAJA3;CLPX;NAA16;CRYAB;CISD1;ARL2;SPCS2;CDC37L1;MPDU1;TTC1;BAG5;NAA50;CCT6A;GALNT2;CLN3;CASP4"
"Negative Regulation of Syncytium Formation by Plasma Membrane Fusion",-2.25824079623003,5.13167339665032e-05,"RPL29;RPL6;RPL38;UBA52;RPLP0;RPL23A;RPL27;RPL35A;RPL5;RPL39;RPL10A;RPL7A;RPL12;RPL32;RPL35;RPL19;RPL37;RPL13A;RPL28;RPL21;RPL15;RPL11;RPL7;RPL14;RPLP2;RPL36;RPL34;RPL31;RPL4;RPL18A;RPL8;RPL23;RPLP1;RPL9"
"Phospholipid Metabolic Process",-1.67943497471359,5.13167339665032e-05,"IDH1;PNPLA3;FDPS;APOC1;FADS1;AGPAT5;SMPDL3A;NR1H4;PCSK9;ACAT2;FABP3;MVK;HEXB;OSBPL10;MVD;MTM1;APOA1;SCARB1;SPATA18;LPIN1;PRDX6;ABHD5;PIK3C2A;ANGPTL3;HMGCS1;DBI;PCYT1A;PIK3C3;LPCAT3;RAB38;PCYT2;DGKG;PTEN;IDI1;FABP5;PI4K2B;SPTLC2;ACSL3;FDFT1;ABHD6;SRD5A3;PTPMT1;FITM2;PLD2;PGAP2;HMGCR;MTMR7;LPGAT1;GPAM;FAR1;TNFAIP8L3;PIGU;OSBP;MTMR4;SGMS2;NUS1;CPNE1;DPM3;PIGA;PMVK;IPMK;PIP5K1B;ABHD12B;GGPS1;LIPH;PIK3R5;PGS1;ABHD4;PIK3C2B;SCP2;SGMS1;SPTLC1;PIGP;ABHD3;PLAA;DOLPP1;MFSD2A"
"Blood Vessel Morphogenesis",1.55675761559212,5.1793347652057e-05,"SOX4;WNT5A;SEMA5A;NDP;COL4A3;PLEKHG5;ID1;HES1;HIF3A;JUP;ADAM12;AKT3;PGF;NDNF;ZFPM2;VSTM4;BCAM;LRP5;PTGIS;NR4A1;MMP19;VASH2;FZD5;TGFB2;JUN;JUNB;NRP1;SEMA4A;PDGFB;IGFBP7;HAND2;EGR3;ERBB2;PTPRM;SMO;BCAS3;DAB2IP;CITED1;GJA5;HPGD;MYOCD;ANG;PIK3CA;BRCA1;THSD7A;AMOTL2;HDAC5;F3;NOTCH4;HMOX1;FZD4;JAG1;RHOB;GJC1;CSPG4;IL10;NPR3;ACTG1;FGFR1;TNNI3;FN1;HPSE;AQP1;MCAM;E2F8;FGF18;TNFSF12;SMAD1;FYN;THBS1;TEAD2;ISM1;C3;KLF4;PRDM1;PRKD2;BMPR2;TNFAIP3;MDK;NTRK2;PLCD3;MMP14;PLK2;SGCD;SASH1;EPHB4;APLNR;TLR3;TSPAN12;FMNL3;HS6ST1;CD47;EPN1;NRP2;NOTCH3;JAK1;TGM2;PXDN;PDGFA;GPNMB;SRF;GATA6;CHRNA7;CHD7;IL18;STIM1;RAMP1;MMRN2;ARID2;C6;FGFR2;FOXO4;ZNF304;RRAS;ALOX5;CX3CR1;APOB;E2F7;EFEMP2;AKT1;NR2F2;MFGE8;AMOT;SEMA6A;CEACAM1;RIN2;DAG1;TJP1;GAB1;RELA;WT1;PTGS2;C3AR1;SIRT1;FOXJ2;EFNA1;ECM1;WNT4;PLCG1;ROCK2;EGFL7;AMOTL1;FKBPL;HMGA2;TAL1;MEIS3;KLF2;PRKD1"
"Nucleobase Containing Compound Catabolic Process",-1.49053519601779,5.32670298511649e-05,"PGK1;LDHA;MLXIPL;ENPP3;ALDOC;ENO2;CRYZ;ZCCHC17;UCP2;SMPDL3A;SLC2A6;UCHL1;TPI1;ENO1;GAPDH;SLFN5;NME1;GPI;ENTPD3;NUDT5;PFKP;PFKFB4;HK2;NYNRIN;PGAM1;LRPPRC;CASP3;LSM11;PGAM4;DKC1;CARHSP1;PDE8A;C1QBP;MFSD8;NUDT12;RBX1;RBM47;SLC4A4;LIPA;EXOSC8;ALDOA;PRKAA1;GSPT2;PDE10A;INTS10;FITM2;HKDC1;SND1;ACOT7;NPM1;POLR2G;NUDT16;PNP;PFKFB3;ENPP4;FEN1;HBS1L;SLIRP;SNIP1;ENTPD7;MRTO4;SSB;DIS3L2;AMPD3;CNOT1;SUCLG1;GSPT1;FBP1;ITPA;UNG;EXOSC7;ERN1;UPP1;MAGOHB;FASTKD1;DHTKD1;NSUN4;RNASEH1;PSEN1;MTCH2;NCBP2;SNRPD3;DHX36;INTS2;SMG8;PRKAG2;FASTKD5;NUDT3;MAGOH;LSM1;LARP1B;ZFC3H1;MLYCD;RNASET2;GRSF1;FASTKD3;NUDT8;SAMD4A;EDC3;HPRT1"
"Fatty Acid Metabolic Process",-1.6760279115206,5.3760252786151e-05,"PGK1;MLXIPL;CROT;FADS2;PNPLA3;ELOVL6;DECR1;SCD;APOC1;FADS1;ACAT2;FABP3;PDK1;ACLY;AACS;HSD17B12;SIGMAR1;NME1;PTGES;LPIN1;TPK1;AKR1B1;ABHD5;TECR;ANGPTL3;DBI;APOE;FASN;ACSS2;FABP5;HSD17B4;AKR1C2;TYRP1;ACSL1;LIPA;ACSL3;ABHD6;PRKAA1;PDK3;INSIG2;ACOT7;ACOX1;ETFB;PCCA;LPGAT1;GPAM;NDUFAB1;ELOVL5;ACBD5;ALDH3A2;ACSL4;ERLIN2;MECR;ETFA;PTGES3;ACACA;ACOT4;GSTP1;AKR1C1;ECH1;ECHS1;OXSM;CBR1;ADH5;HADH;MCEE;IVD;GPX1;PECR;PRKAG2;ACOT9;INSIG1;DGAT2;ERLIN1;MLYCD;MIF;SCP2;NUDT8;DECR2;ABHD3;ABHD2;PLAA;ASAH1;ETFDH;MFSD2A"
"Phospholipid Biosynthetic Process",-1.75707931129501,7.01652365065335e-05,"IDH1;PNPLA3;FDPS;FADS1;AGPAT5;NR1H4;ACAT2;FABP3;MVK;HEXB;MVD;MTM1;APOA1;LPIN1;ABHD5;PIK3C2A;HMGCS1;PCYT1A;PIK3C3;LPCAT3;RAB38;PCYT2;DGKG;PTEN;IDI1;FABP5;PI4K2B;SPTLC2;ACSL3;SRD5A3;PTPMT1;FITM2;PLD2;PGAP2;HMGCR;MTMR7;LPGAT1;GPAM;FAR1;PIGU;OSBP;MTMR4;SGMS2;NUS1;CPNE1;DPM3;PIGA;PMVK;PIP5K1B;GGPS1;LIPH;PGS1;ABHD4;PIK3C2B;SCP2;SGMS1;SPTLC1;PIGP;ABHD3;DOLPP1;MFSD2A"
"Rrna Processing",-1.77018499861808,7.24944526379031e-05,"MPHOSPH6;TRMT61B;WDR43;DKC1;RCL1;RRP36;RPF2;YBEY;EXOSC8;PRMT5;NHP2;DDX47;RRP7A;NUDT16;NOL11;MRTO4;RPL7L1;TFB2M;SUV39H1;TSR1;EBNA1BP2;IMP3;DDX55;RPP40;EXOSC7;RPS28;NSUN4;NOP10;GTPBP4;RPS8;RPL27;C1D;RPP30;RPL35A;RPS21;WDR36;RPL5;POP4;METTL5;EMG1;SRFBP1;RPL7A;FTSJ3;NOL7;RPS6;RPL35;DCAF13;RPUSD2;RPS24;NVL;DDX52;NOP14;UTP6;DDX21;BYSL;UTP20;FBL;PRKDC;RPS17;WDR3;NOB1;WDR77;RPS14;BMS1;RPS19;PES1;RPL11;LAS1L;WDR12;RPL7;RPL14;PWP1;DDX49;WDR74;NAT10;POP7;DDX18;FCF1;PIN4;HEATR1;NSA2;RPL26;METTL18;TSR2;FRG1;RPS16;EXOSC2"
"Cell Surface Receptor Protein Serine Threonine Kinase Signaling Pathway",1.6525463262626,7.82151035552767e-05,"ATOH8;WNT5A;SMAD9;VWC2;NPNT;NDP;ID1;SFRP4;CDH3;HES1;HTRA1;CRIM1;FOS;BMP3;TTK;MAP1LC3A;AMH;TGFB2;JUN;CDKN1C;ITGB5;SMAD6;SKIL;ATF3;CITED1;NUMA1;TGFB1I1;ING1;HPGD;MYOCD;TOB1;LTBP4;ING2;FSTL3;ITGA3;DACT1;LTBP3;EGR1;FAM89B;PTPRK;SAP30L;NEO1;SMAD1;THBS1;PEG10;ZNF423;BMPR2;INHBB;AXIN1;CILP;GPR155;NUP93;UBE2O;ACVR2B;GDF9;TGFB3;LTBP1;EXT1;FERMT2;GDF7;FSTL1;DLX5;RBPMS;SCUBE3"
"Protein Localization to Mitochondrion",-2.1103327405401,9.40292734074698e-05,"SAMM50;HK2;GRPEL1;EIF2AK1;TOMM5;TOMM40;AIFM1;TIMM8B;AGK;TOMM6;TIMM10;MTX3;ROMO1;TIMM13;TIMM17A;TMEM126A;MTCH2;HSPA4;TIMM8A;DNAJA1;TIMM23;HSP90AA1;HSPD1;TIMM22;NDUFA13;TIMM9;DNM1L"
"Regulation of System Process",1.61805778494403,0.000109501399436006,"NLGN4X;CACNB3;HOPX;NPNT;S100B;RIMS1;NPY2R;FOXO1;CASR;EGR2;JUP;NR4A3;CAMK2D;FGF12;PRKCZ;CRHBP;IGF1;HIP1R;TGFB2;PPP1R12B;ADRA2A;CC2D1A;ABAT;PDGFB;IGFBP5;ANK2;HAND2;ACE;KCNJ8;MAPK8IP2;KCNMB2;TMEM108;DSP;C1QTNF1;GJA5;RIMS2;KCNQ1;MYOCD;CACNB2;AVPR1A;TSHZ3;ITGA9;SCN5A;FOXP1;ZDHHC21;PAK1;WNK3;GJC1;NPR3;FGFR1;TNNI3;PBX3;MTMR2;AQP1;INPP5K;PDE9A;OXTR;SGK1;EDNRB;TRPC1;KLF4;HBEGF;BMPR2;TACR2;MAG;FAAH;ADORA3;DLG4;GSTM2;GSK3A;FOXL2;INHBB;ZMYND8;AGER;NPPA;APLNR;GDF9;AKAP9;TMEM98;CACNB1;GNAO1;GAS6;LMNA;ELOVL4;KCNIP2;PRKAR1B;SLC22A5;KCND2;GRIK2;KCNJ5;FLNA;SRF;CHRNA7;CACNA1G;F2R;FBXO32;WASF3;DES"
"Canonical Wnt Signaling Pathway",1.69226715277263,0.000135946171452737,"SOX4;WNT5A;SEMA5A;PRICKLE1;NDP;ASPM;SFRP4;CDH3;FOXO1;JUP;LRP5;DAAM2;KANK1;FZD5;BICC1;ZNRF3;DAB2IP;IGFBP1;LMBR1L;NKD1;TMEM88;LRP6;SFRP5;MEST;DACT1;CDK14;FZD4;WNK3;EGR1;NRBP2;PPM1B;COL6A1;EDNRB;SNAI2;IGFBP2;FRAT2;KLF4;SOX13;APC2;NR4A2;TCF7;GPC5;MDK;TCF7L1;CSNK1E;RARG;RYK;GSK3A;SPIN4;AXIN1;PTK7;NPPA;EGFR;MAD2L2;SOX9;DVL2;TCF7L2;EXT1;CTNNBIP1;DLX5;LIMD1;DVL3;DDIT3;FZD3;PLEKHA4;FGFR2;SMAD4;FRAT1;AXIN2;RNF146;PYGO1;BCL9"
"Cardiac Septum Development",1.91668805102613,0.000135946171452737,"SOX4;WNT5A;HES1;ZFPM2;SAV1;VANGL2;TGFB2;NRP1;SMAD6;ANK2;HEYL;SEMA3C;KCNJ8;SMO;GJA5;CRELD1;TBX3;JAG1;PAX8;SUFU;PRDM1;BMPR2;PTK7;APLNR;NRP2;GATA6;CHD7;FGFR2;SMAD4"
"Proton Motive Force Driven Atp Synthesis",-2.13855946043124,0.000138707476674597,"NDUFB9;NDUFS3;NDUFA9;NDUFB3;NDUFS8;NDUFAB1;NDUFA12;NDUFS5;NDUFA8;NDUFA6;SDHD;NDUFC2;NDUFV2;NDUFB2;STOML2;NDUFA1;NDUFB10;NDUFB8;NDUFA7;NDUFC1;SDHC;NDUFA13;NDUFS4;NDUFS1;SDHB;NDUFA11;NDUFB4;NDUFS6;SDHA;NDUFA2;NDUFB6"
"Heart Morphogenesis",1.75522565274067,0.000139526608176406,"SOX4;WNT5A;PRICKLE1;DCHS1;DCHS2;HES1;NPY2R;PIM1;ZFPM2;SAV1;VANGL2;TGFB2;JUN;NRP1;SMAD6;HEYL;HAND2;SEMA3C;NRG1;COL11A1;KCNJ8;INSR;SMO;DSP;GJA5;GREB1L;ALDH1A2;ADAMTS5;TBX3;JAG1;TNNI3;SUFU;TEAD2;SNAI2;BMPR2;GRHL2;PPP1R13L;GSK3A;NDRG4;EPHB4;SOX9;APLNR;DVL2;NRP2;TGFB3;EXT1;UBE4B;ASXL1;SRF;GATA6;CHD7;ARID2;FGFR2;SMAD4;PTCH1;AXIN2"
"Regulation of Chromosome Segregation",1.84034009692533,0.000139526608176406,"BUB1;TTK;UBE2C;NCAPG;DPF3;BIRC5;CENPE;BUB1B;DUSP1;RCC2;KIF2C;NUMA1;SMARCC2;PLK1;DLGAP5;BCL7A;ESPL1;CDK1;ZWINT;DPF2;CDC20;SMC6;SMARCA2;SKA3;FBXO5;MAD2L2;BRD7;RMI2;HECW2;CENPF;NCAPH;NCAPD2;ARID2;USP44;CDC6;NCAPH2;MAD1L1;NCAPD3;ANAPC2;ARID1B;INCENP;ARID1A;LCMT1;NDC80;CCNB1;SIRT1;DYNLRB1;NCAPG2;IK;SMARCC1;HNRNPU;CHFR;RB1;SMARCD1;TPR"
"Sister Chromatid Segregation",1.72991752580885,0.000139526608176406,"PRICKLE1;KIFC1;BUB1;KIF11;TTK;UBE2C;KIF23;NCAPG;DPF3;BIRC5;CENPE;BUB1B;CENPA;PRC1;DUSP1;KIF2C;NUMA1;SMARCC2;KIF15;PLK1;KIF4A;MYBL2;DLGAP5;KIF18A;BCL7A;SKA2;ESPL1;KIF14;CDK1;ZWINT;DPF2;CDC20;TOP2A;SMARCA2;CEP55;SKA3;CEP192;MAP9;FBXO5;MAD2L2;AKAP8L;SPAG5;MZT1;BRD7;RMI2;HECW2;CENPF;FLNA;NCAPH;OFD1;NUSAP1;CLASP1;NCAPD2;KIF22;ARID2;USP44;CDC6;NCAPH2;MAD1L1;CHMP4C;NCAPD3;ANAPC2;ARID1B;INCENP;CEP97;NEK2;ARID1A;LCMT1;NDC80;CCNB1;SIRT1;DCTN2;CHMP1B;DYNLRB1;GOLGA2;KIF18B;NCAPG2;IK;SMARCC1;AAAS;STAG2;HNRNPU;CHFR;EML3;RB1;SMARCD1;CCDC61;TPR;CENPK;RRS1"
"Regulation of Cell Growth",1.6214402424485,0.000143407937377778,"WNT5A;SEMA5A;CDH4;OSGIN2;RIMS1;SOCS2;CAMK2D;SEMA7A;IGFBP3;SYT2;CDKL5;IGF1;TGFB2;ESR2;NRP1;PTPRS;IGFBP7;IGFBP5;SEMA6C;NRG1;ENPP1;ERBB2;BCL11A;ING1;IGFBP1;RIMS2;TTL;MYOCD;AVPR1A;TSPYL2;BRCA1;LTBP4;PRDM11;FOXP1;CDKN2C;CISH;OGFR;BCL2;PAK1;ULK2;DDR1;GDI1;FN1;VGLL4;KIF14;CDKN2AIP;TCHP;CDH1;SGK1;PRKCQ;SMARCA2;TP53;SEMA3A;TEAD1;HBEGF;BMPR2;SLC23A2;MMP14;MAG;CRABP2;RYK;GSK3A;LIMK1;NPPA;EGFR;MAD2L2;GDF9;ULK1;EPHX2;MUC12;SYT1"
"Isoprenoid Biosynthetic Process",-2.31401119809841,0.00015105509278879,"FDPS;ACAT2;MVK;LSS;PDSS1;MVD;ALDH8A1;HMGCS1;IDI1;PDSS2;DHRS9;HMGCR;ALDH1A3;DPM3;PMVK;GGPS1"
"Heart Development",1.56174735268692,0.0001778595971931,"SOX4;MYH11;SIK1;ID3;WNT5A;HOPX;PRICKLE1;DCHS1;DCHS2;ID1;PDLIM7;HES1;NPY2R;PIM1;ZFPM2;FGF12;SAV1;VANGL2;IGF1;BICC1;TGFB2;JUN;NRP1;PDGFB;SMAD6;ANK2;HEYL;HAND2;SEMA3C;NRG1;COL11A1;KCNJ8;ERBB2;INSR;SMO;DSP;GJA5;GREB1L;KCNQ1;MYOCD;CRELD1;ALDH1A2;PDLIM1;VCAM1;SCN5A;FOXP1;ADAMTS5;PAK1;TBX3;JAG1;GJC1;MED12;SOX6;FGFR1;TNNI3;FN1;VGLL4;CDK1;PCSK5;PAX8;SMAD1;SUFU;COL6A1;TEAD2;SNAI2;PRDM1;BMPR2;GRHL2;PPP1R13L;BCOR;NFATC1;GSK3A;SGCD;PTK7;NPPA;EGFR;NDRG4;EPHB4;SOX9;APLNR;ACVR2B;DVL2;NRP2;TGFB3;MEF2D;LMNA;EXT1;UBE4B;SYPL2;POU6F1;ASXL1;SRF;GATA6;SH3PXD2B;CASP7;CACNA1G;CHD7;ARID2;FGFR2;SMAD4;CRIP1;DZIP1;PTCH1;COX17;PDLIM3;AXIN2"
"Fatty Acid Derivative Biosynthetic Process",-2.18150617506625,0.000194942635264656,"ELOVL6;ACSS3;AACS;HSD17B12;TECR;FASN;PPT1;ACSL1;ACSL3;HMGCL;FAR1;ELOVL5;ACSL4;PAM;ACACA"
"Mitochondrial Electron Transport Nadh to Ubiquinone",-2.1300399731671,0.000206022097325837,"NDUFB9;PARK7;NDUFS3;NDUFAF1;NDUFA9;NDUFB3;NDUFS8;NDUFAB1;NDUFS5;NDUFA8;NDUFA6;NDUFC2;NDUFV2;NDUFB2;DLD;NDUFA1;NDUFB10;NDUFB8;NDUFA7;NDUFC1;NDUFA4;NDUFS4;NDUFS1;NDUFA11;SNCA;NDUFB4;NDUFS6;COQ9;NDUFA2;NDUFB6"
"Isoprenoid Metabolic Process",-2.01714960069058,0.00020932293733328,"FDPS;ACAT2;MVK;LSS;PDSS1;MVD;NME1;AKR1B1;RDH11;ALDH8A1;HMGCS1;DHRS3;HSD17B6;IDI1;LIPA;FDFT1;SCPEP1;SRD5A3;PDSS2;DHRS9;RETSAT;HMGCR;ALDH1A3;ALDH3A2;DPM3;PMVK;AKR1C1;ADH5;GGPS1;PECR;RARRES2;DGAT2;LRP8;SCP2"
"Mesenchyme Development",1.71327800207742,0.000212583433623767,"SOX4;WNT5A;SEMA5A;PRICKLE1;DCHS1;HES1;TNXB;ZFPM2;FGF12;SEMA7A;IGF1;AMH;TGFB2;NRP1;SEMA4A;SEMA6C;HEYL;HAND2;SEMA3C;NRG1;SMO;DAB2IP;TGFB1I1;EFNB1;CRELD1;ALDH1A2;MARK1;LRP6;DLG5;NOTCH4;ADAMTS5;BCL2;TBX3;JAG1;FGFR1;FN1;TEAD2;EDNRB;SNAI2;PHACTR4;SEMA3A;BMPR2;MDK;SPSB3;SEMA4C;FAM83D;SEMA3B;PTK7;MAD2L2;SOX9;APLNR;TCF7L2;NRP2;TGFB3;TCOF1"
"Acetyl Coa Metabolic Process",-2.16169248415052,0.000229360018187901,"PGK1;MVK;PDK1;ACLY;MVD;NME1;DLAT;TPK1;HMGCS1;FASN;ACSS2;PDK3;HMGCR;ACACA;PMVK;DLD;MLYCD;NUDT8"
"Cell Growth",1.57549534538006,0.000269256444223012,"WNT5A;SEMA5A;PRICKLE1;CDH4;OSGIN2;S100B;RIMS1;SOCS2;CAMK2D;SEMA7A;PRKCZ;IGFBP3;SYT2;CDKL5;IGF1;TGFB2;ESR2;NRP1;PTPRS;IGFBP7;IGFBP5;SEMA6C;NRG1;ENPP1;ERBB2;BCL11A;TMEM108;ING1;IGFBP1;RIMS2;TTL;MYOCD;AVPR1A;TSPYL2;BRCA1;LTBP4;PRDM11;FOXP1;CDKN2C;CISH;OGFR;BCL2;PAK1;ULK2;DDR1;GDI1;FN1;VGLL4;KIF14;CDKN2AIP;TCHP;CDH1;SGK1;PRKCQ;SMARCA2;TP53;SEMA3A;TEAD1;HBEGF;BMPR2;SLC23A2;MMP14;MAG;RARG;CRABP2;RYK;GSK3A;LIMK1;FOXL2;NPPA;EGFR;MAD2L2;SOX9;GDF9;ULK1;EPHX2;VCL;NRP2;MUC12;SYT1;EXT1;SPHK2"
"Nuclear Chromosome Segregation",1.66459897472865,0.000275907640937638,"PRICKLE1;ASPM;KIFC1;BUB1;CCNB1IP1;KIF11;TTK;UBE2C;KIF23;NCAPG;DPF3;BIRC5;CENPE;BUB1B;CENPA;PRC1;DUSP1;RCC2;KIF2C;NUMA1;SMARCC2;KIF15;TTL;PLK1;KIF4A;MYBL2;DLGAP5;KIF18A;BCL7A;SKA2;ESPL1;KIF14;CDK1;ZWINT;DPF2;CDC20;TOP2A;SMARCA2;CEP55;SKA3;CEP192;PSMC3IP;FAM83D;MAP9;FBXO5;MAD2L2;AKAP8L;SPAG5;MZT1;BRD7;GEM;RMI2;HECW2;CENPF;FLNA;EHMT2;NCAPH;BAG6;SUN1;OFD1;NUSAP1;CLASP1;FANCD2;NCAPD2;KIF22;ARID2;USP44;CDC6;NCAPH2;PTTG1;MAD1L1;CENPV;CHMP4C;NCAPD3;ANAPC2;ARID1B;INCENP;CEP97;PMF1;NEK2;ARID1A;LCMT1;NDC80;CCNB1;SIRT1;DCTN2;ZCWPW1;CHMP1B;DYNLRB1;GOLGA2;KIF18B;NCAPG2;IK;SMARCC1;AAAS;STAG2;HNRNPU;CHFR;EML3;RB1;SMARCD1;CCDC61;TPR;CENPK;RRS1"
"Glucose Catabolic Process",-2.26125620948605,0.000304781716767086,"PGK1;LDHA;ENO2;TPI1;ENO1;GAPDH;PFKP;HK2;PGAM1;ALDOA"
"Organic Acid Biosynthetic Process",-1.67083839382871,0.000304781716767086,"MLXIPL;FADS2;ELOVL6;SCD;APOC1;FADS1;NR1H4;PLOD1;ACLY;HSD17B12;SIGMAR1;GOT2;NME1;VDAC1;PTGES;STAR;LTA4H;PARK7;TECR;OSBPL6;ALDH8A1;PYCR1;MTHFD1L;FASN;ACSS2;ERRFI1;FABP5;HSD17B4;NANP;STARD4;ACSL1;PRKAA1;PSAT1;DHRS9;INSIG2;ACOT7;ACOX1;LPGAT1;GLS;MTHFD1;ALDH1A3;NDUFAB1;ELOVL5;ACSL4;OSBP;ERLIN2;MECR;PTGES3;ACACA;ACOT4;GSTP1;BCAT1;OXSM;CBR1;LDHAL6B;BHMT2;GOT1;PECR;PRKAG2;INSIG1;ERLIN1;PLOD2;PSPH;MLYCD;MIF;SCP2;DECR2;ABHD3;ABHD2;PLAA;SEPSECS;ENOPH1;MTHFD2;GAMT;NR1H3"
"Homophilic Cell Cell Adhesion",1.88518252827797,0.000355869619650624,"CDH4;DCHS1;DCHS2;CDH3;FAT3;CLSTN2;PCDHGB7;ROBO3;FAT2;PCDH9;PCDH17;PCDH18;TRO;CNTN4;PTPRM;IGSF11;CDH12;CADM1;PCDHGB6;CDH1;PCDHGB4;CELSR2;AMIGO2;PCDHB14;CADM4;PTK7;PCDH10;PCDHGA10;PCDHGB5;CNTN2;KIRREL3;FAT4;PCDHAC2;PCDHGA9;CLSTN3;CEACAM1;PCDHGB2;CELSR1;PKD1;PCDH11X;NEXN;PCDHB13;PCDH7;CDH2;CD84;PCDHGA12;PALLD;PCDHGC3;CLSTN1;PCDHA9"
"Renal System Development",1.64547553159722,0.000355869619650624,"SOX4;ID3;WNT5A;PRICKLE1;NPNT;DCHS1;COL4A3;COL4A4;DCHS2;HES1;ZBTB16;CD24;VANGL2;BICC1;TGFB2;CDKN1C;NRP1;PDGFB;KANK2;SMAD6;HEYL;ACE;KCNJ8;HS3ST3A1;SMO;CITED1;ARG2;HPGD;GREB1L;MYOCD;ALDH1A2;ITGA3;DLG5;BCL2;TTC8;JAG1;GZF1;EGR1;FGFR1;AQP1;PDGFD;PCSK5;PAX8;SMAD1;ASS1;EDNRB;MPST;PRDM1;KLHL3;PTK7;SOX9;ACVR2B;NOTCH3;EXT1;CENPF;CTNNBIP1;LIN28A;ASXL1;PDGFA;KIRREL3;BAG6;KIF26B;FGFR2;SMAD4;IFT27;PTCH1;DTNBP1;PROM1;PYGO1"
